service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GNE:GOAO002:2:002MF250511:O:40,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:41,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:42,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:43,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:44,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:45,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:46,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:O:47,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:1,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:2,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:3,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:4,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:5,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:6,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:7,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:8,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:9,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:10,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:11,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:12,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:13,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:14,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:15,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:16,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:17,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:18,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO002:2:002MF250511:I:19,1,1,1,1,1,0,0,20250511,20251223
