Depot,Allocated Depot,OperatingDepotCode,FleetNo,RegNumber,VehicleType Equinox,VehicleGroupDescription,VehicleAllocation,Branding,Service Specific Vehicle Type,Vehicle Class(HxGN),,,,,,,
Consett (ex Stanley),Consett,CONS,6950,LX08EBV,ADL Enviro 400 Enviro 400 ISBe4 5HP502 10.1 4 (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5496,NK69FBJ,ADL Enviro 200 Enviro 200 ISB4.5 D824.6 11.6 6,Single Deck,Stage Carriage,,SDD,,,,,,,,
Consett (ex Stanley),Consett,CONS,6219,LX59CZJ,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
,Consett,CONS,6378,MA75CRK,Wrightbus Ultroliner,Double Decker,Stage Carriage,,DDD,,,,,,,,
,Consett,CONS,6379,MA75CRU,Wrightbus Ultroliner,Double Decker,Stage Carriage,,DDD,,,,,,,,
,Consett,CONS,6380,MA75CRV,Wrightbus Ultroliner,Double Decker,Stage Carriage,,DDD,,,,,,,,
,Consett,CONS,6382,MA75CRZ,Wrightbus Ultroliner,Double Decker,Stage Carriage,,DDD,,,,,,,,
,Consett,CONS,6383,MA75CSF,Wrightbus Ultroliner,Double Decker,Stage Carriage,,DDD,,,,,,,,
,Consett,CONS,6384,MA75CSO,Wrightbus Ultroliner,Double Decker,Stage Carriage,,DDD,,,,,,,,
,Consett,CONS,6381,MA75CRX,Wrightbus Ultroliner,Double Decker,Stage Carriage,,DDD,,,,,,,,
Deptford,Deptford,DEPT,653,NK15GDE,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,SDD,,,,,,,
Deptford,Deptford,DEPT,654,NK15GDF,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,SDD,,,,,,,
Deptford,Deptford,DEPT,655,NK15GDJ,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,656,NK15GDO,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,SDD,,,,,,,
Deptford,Deptford,DEPT,657,NK15GEY,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,SDD,,,,,,,
Deptford,Deptford,DEPT,658,NK15GFA,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,659,NK15GFE,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,660,NK15GFG,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,662,NK15GFO,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,SDD,,,,,,,
Deptford,Deptford,DEPT,663,NK15GFU,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,SDD,,,,,,,
Deptford,Deptford,DEPT,673,NK16BXP,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,674,NK16BXR,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,675,NK16BXS,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,676,NK16BXU,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,677,NK16BXV,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,678,NK16BXW,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,679,NK16BXX,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,682,NK66CWX,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,728,NK68BZY,Optare Solo Solo OM934LA T2100 9.2 6,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Deptford,Deptford,DEPT,1040,GV65CWA,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Deptford,Deptford,DEPT,1041,GV65CXF,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Deptford,Deptford,DEPT,1066,EY67ZCN,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Deptford,Deptford,DEPT,1108,EK66UGE,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Deptford,Deptford,DEPT,5369,NL63XAZ,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5370,NL63XBA,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5371,NL63XBB,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5372,NL63XBC,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5373,NL63XBD,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5374,NL63XBE,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5375,NL63XBF,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5376,NL63XBG,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5391,NK15EMV,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5392,NK15EMX,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5393,NK15ENC,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5394,NK15ENE,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5395,NK15ENF,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5396,NK15ENH,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5397,NK15ENJ,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5398,NK15ENL,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5399,NK15ENM,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5414,NK15EOE,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5415,NK15EOF,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5416,NK15EOG,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5417,NK15EOH,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
